migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.001,0.75,0.005,2,PMEC,0.027066736,0.03215962
0.0005,0.005,0.75,0.005,2,PMEC,0.025983476,0.031302868
0.0005,0.01,0.75,0.005,2,PMEC,0.024032001,0.03052991
0.0005,0.05,0.75,0.005,2,PMEC,0.012209796,0.031105014
0.0005,0.1,0.75,0.005,2,PMEC,0.002659414,0.031072071
0.0005,0.0001,0.75,0.005,0,VM,0,0
0.0005,0.0005,0.75,0.005,0,VM,0,0
0.0005,0.001,0.75,0.005,0,VM,0,0
0.0005,0.005,0.75,0.005,0,VM,0,0
0.0005,0.01,0.75,0.005,0,VM,0,0
0.0005,0.05,0.75,0.005,0,VM,0,0
0.0005,0.1,0.75,0.005,0,VM,0,0
0.0005,0.0001,0.75,0.005,1,VM,0,0
0.0005,0.0005,0.75,0.005,1,VM,0,0
0.0005,0.001,0.75,0.005,1,VM,0,0
0.0005,0.005,0.75,0.005,1,VM,0,0
0.0005,0.01,0.75,0.005,1,VM,0,0
0.0005,0.05,0.75,0.005,1,VM,0,0
0.0005,0.1,0.75,0.005,1,VM,0,0
0.0005,0.0001,0.75,0.005,2,VM,0,0
0.0005,0.0005,0.75,0.005,2,VM,0,0
0.0005,0.001,0.75,0.005,2,VM,0,0
0.0005,0.005,0.75,0.005,2,VM,0,0
0.0005,0.01,0.75,0.005,2,VM,0,0
0.0005,0.05,0.75,0.005,2,VM,0,0
0.0005,0.1,0.75,0.005,2,VM,0,0
0.0005,0.0001,0.75,0.01,0,Other,0.021016334,0.032675654
0.0005,0.0005,0.75,0.01,0,Other,0.020837909,0.032367462
0.0005,0.001,0.75,0.01,0,Other,0.020544648,0.032201118
0.0005,0.005,0.75,0.01,0,Other,0.020751197,0.031851977
0.0005,0.01,0.75,0.01,0,Other,0.020095876,0.03225802
0.0005,0.05,0.75,0.01,0,Other,0.012536939,0.031520183
0.0005,0.1,0.75,0.01,0,Other,0.011643121,0.032301944
0.0005,0.0001,0.75,0.01,1,Other,0.021307599,0.032852195
0.0005,0.0005,0.75,0.01,1,Other,0.020537866,0.032330916
0.0005,0.001,0.75,0.01,1,Other,0.019809968,0.032306021
0.0005,0.005,0.75,0.01,1,Other,0.020281499,0.032092377
0.0005,0.01,0.75,0.01,1,Other,0.020263336,0.032540105
0.0005,0.05,0.75,0.01,1,Other,0.012729408,0.031386467
0.0005,0.1,0.75,0.01,1,Other,0.010835948,0.032238765
0.0005,0.0001,0.75,0.01,2,Other,0.020479834,0.032362966
0.0005,0.0005,0.75,0.01,2,Other,0.021198209,0.032802871
0.0005,0.001,0.75,0.01,2,Other,0.021385734,0.032470733
0.0005,0.005,0.75,0.01,2,Other,0.020854593,0.032158056
0.0005,0.01,0.75,0.01,2,Other,0.0198248,0.032683377
0.0005,0.05,0.75,0.01,2,Other,0.016072064,0.03285431
0.0005,0.1,0.75,0.01,2,Other,0.012463179,0.033379506
0.0005,0.0001,0.75,0.01,0,PMEC,0.024061623,0.032977503
0.0005,0.0005,0.75,0.01,0,PMEC,0.022831418,0.0323564
0.0005,0.001,0.75,0.01,0,PMEC,0.02235489,0.031828247
0.0005,0.005,0.75,0.01,0,PMEC,0.022637531,0.032037879
0.0005,0.01,0.75,0.01,0,PMEC,0.021930599,0.031805929
0.0005,0.05,0.75,0.01,0,PMEC,0.009717642,0.031940958
0.0005,0.1,0.75,0.01,0,PMEC,0.005608269,0.032520545
0.0005,0.0001,0.75,0.01,1,PMEC,0.023942732,0.033273572
0.0005,0.0005,0.75,0.01,1,PMEC,0.021877532,0.031639185
0.0005,0.001,0.75,0.01,1,PMEC,0.022168689,0.03172728
0.0005,0.005,0.75,0.01,1,PMEC,0.022597113,0.032128734
0.0005,0.01,0.75,0.01,1,PMEC,0.022313765,0.032543872
0.0005,0.05,0.75,0.01,1,PMEC,0.011627854,0.032219545
0.0005,0.1,0.75,0.01,1,PMEC,0.005917207,0.033583904
0.0005,0.0001,0.75,0.01,2,PMEC,0.02206,0.032066027
0.0005,0.0005,0.75,0.01,2,PMEC,0.023089434,0.032428569
0.0005,0.001,0.75,0.01,2,PMEC,0.023496218,0.03262812
0.0005,0.005,0.75,0.01,2,PMEC,0.021754047,0.0313905
0.0005,0.01,0.75,0.01,2,PMEC,0.022715192,0.032105206
0.0005,0.05,0.75,0.01,2,PMEC,0.013247547,0.033197243
0.0005,0.1,0.75,0.01,2,PMEC,0.006793122,0.034354242
0.0005,0.0001,0.75,0.01,0,VM,0,0
0.0005,0.0005,0.75,0.01,0,VM,0,0
0.0005,0.001,0.75,0.01,0,VM,0,0
0.0005,0.005,0.75,0.01,0,VM,0,0
0.0005,0.01,0.75,0.01,0,VM,0,0
0.0005,0.05,0.75,0.01,0,VM,0,0
0.0005,0.1,0.75,0.01,0,VM,0,0
0.0005,0.0001,0.75,0.01,1,VM,0,0
0.0005,0.0005,0.75,0.01,1,VM,0,0
0.0005,0.001,0.75,0.01,1,VM,0,0
0.0005,0.005,0.75,0.01,1,VM,0,0
0.0005,0.01,0.75,0.01,1,VM,0,0
0.0005,0.05,0.75,0.01,1,VM,0,0
0.0005,0.1,0.75,0.01,1,VM,0,0
0.0005,0.0001,0.75,0.01,2,VM,0,0
0.0005,0.0005,0.75,0.01,2,VM,0,0
0.0005,0.001,0.75,0.01,2,VM,0,0
0.0005,0.005,0.75,0.01,2,VM,0,0
0.0005,0.01,0.75,0.01,2,VM,0,0
0.0005,0.05,0.75,0.01,2,VM,0,0
0.0005,0.1,0.75,0.01,2,VM,0,0
0.0005,0.0001,0.75,0.05,0,Other,0.005660392,0.046042729
0.0005,0.0005,0.75,0.05,0,Other,0.007359135,0.046186198
0.0005,0.001,0.75,0.05,0,Other,0.006137233,0.046122366
0.0005,0.005,0.75,0.05,0,Other,0.006271843,0.046046562
0.0005,0.01,0.75,0.05,0,Other,0.006467805,0.046008404
0.0005,0.05,0.75,0.05,0,Other,0.005810463,0.045941023
0.0005,0.1,0.75,0.05,0,Other,0.004876363,0.045957402
0.0005,0.0001,0.75,0.05,1,Other,0.006176635,0.046215183
0.0005,0.0005,0.75,0.05,1,Other,0.006818438,0.046083773
0.0005,0.001,0.75,0.05,1,Other,0.006803064,0.046098627
0.0005,0.005,0.75,0.05,1,Other,0.006500939,0.046241454
0.0005,0.01,0.75,0.05,1,Other,0.006048262,0.04611301
0.0005,0.05,0.75,0.05,1,Other,0.005551282,0.046051242
0.0005,0.1,0.75,0.05,1,Other,0.004656143,0.046019665
0.0005,0.0001,0.75,0.05,2,Other,0.006449956,0.046124169
0.0005,0.0005,0.75,0.05,2,Other,0.006547608,0.046154506
0.0005,0.001,0.75,0.05,2,Other,0.007074395,0.046017224
0.0005,0.005,0.75,0.05,2,Other,0.006407999,0.046154175
0.0005,0.01,0.75,0.05,2,Other,0.006257012,0.046021927
0.0005,0.05,0.75,0.05,2,Other,0.005749568,0.045909164
0.0005,0.1,0.75,0.05,2,Other,0.003842799,0.045820508
0.0005,0.0001,0.75,0.05,0,PMEC,0.011367006,0.044801395
0.0005,0.0005,0.75,0.05,0,PMEC,0.011910322,0.045219558
0.0005,0.001,0.75,0.05,0,PMEC,0.011228434,0.04473835
0.0005,0.005,0.75,0.05,0,PMEC,0.011397793,0.044688171
0.0005,0.01,0.75,0.05,0,PMEC,0.010269898,0.044671818
0.0005,0.05,0.75,0.05,0,PMEC,0.008297583,0.04574324
0.0005,0.1,0.75,0.05,0,PMEC,0.004683298,0.049263652
0.0005,0.0001,0.75,0.05,1,PMEC,0.012488792,0.044893761
0.0005,0.0005,0.75,0.05,1,PMEC,0.011611002,0.044754223
0.0005,0.001,0.75,0.05,1,PMEC,0.011224744,0.045202548
0.0005,0.005,0.75,0.05,1,PMEC,0.012501145,0.044930595
0.0005,0.01,0.75,0.05,1,PMEC,0.010613324,0.044984292
0.0005,0.05,0.75,0.05,1,PMEC,0.00905914,0.046349749
0.0005,0.1,0.75,0.05,1,PMEC,0.005799549,0.049344937
0.0005,0.0001,0.75,0.05,2,PMEC,0.012870044,0.045159089
0.0005,0.0005,0.75,0.05,2,PMEC,0.011984234,0.044953971
0.0005,0.001,0.75,0.05,2,PMEC,0.010501603,0.044793521
0.0005,0.005,0.75,0.05,2,PMEC,0.011938487,0.045154143
0.0005,0.01,0.75,0.05,2,PMEC,0.011573579,0.044939597
0.0005,0.05,0.75,0.05,2,PMEC,0.007768634,0.045874183
0.0005,0.1,0.75,0.05,2,PMEC,0.003820834,0.049492995
