migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.0005,0.75,0.005,0,Other,0.025813559942058913,0.0316333032109381
0.0005,0.0005,0.75,0.005,1,PMEC,0.02774683049498964,0.032620796726502886
0.0005,0.0005,0.75,0.005,1,VM,0.0,0.0
0.0005,0.0005,0.75,0.005,1,Other,0.024892365763036186,0.031005185539383483
0.0005,0.0005,0.75,0.005,2,PMEC,0.027816499862295976,0.03306971145902904
0.0005,0.0005,0.75,0.005,2,VM,0.0,0.0
0.0005,0.0005,0.75,0.005,2,Other,0.026280782035324017,0.032172109007469564
0.0005,0.0005,0.75,0.01,0,PMEC,0.02283141822524489,0.03235640032347475
0.0005,0.0005,0.75,0.01,0,VM,0.0,0.0
0.0005,0.0005,0.75,0.01,0,Other,0.02083790896731844,0.03236746169689137
0.0005,0.0005,0.75,0.01,1,PMEC,0.021877531620346995,0.03163918520848931
0.0005,0.0005,0.75,0.01,1,VM,0.0,0.0
0.0005,0.0005,0.75,0.01,1,Other,0.020537865877383328,0.03233091648153329
0.0005,0.0005,0.75,0.01,2,PMEC,0.023089433821564562,0.03242856873485208
0.0005,0.0005,0.75,0.01,2,VM,0.0,0.0
0.0005,0.0005,0.75,0.01,2,Other,0.021198208682685866,0.03280287141693145
0.0005,0.0005,0.75,0.05,0,PMEC,0.011910322416137676,0.045219558227595956
0.0005,0.0005,0.75,0.05,0,VM,0.0,0.0
0.0005,0.0005,0.75,0.05,0,Other,0.0073591351197174176,0.046186197557353745
0.0005,0.0005,0.75,0.05,1,PMEC,0.011611001748061192,0.0447542231736369
0.0005,0.0005,0.75,0.05,1,VM,0.0,0.0
0.0005,0.0005,0.75,0.05,1,Other,0.006818437506155802,0.04608377335354532
0.0005,0.0005,0.75,0.05,2,PMEC,0.011984234442879256,0.04495397108860644
0.0005,0.0005,0.75,0.05,2,VM,0.0,0.0
0.0005,0.0005,0.75,0.05,2,Other,0.006547607674789052,0.046154505668061674
0.0005,0.0005,0.75,0.1,0,PMEC,0.006578537353828131,0.06755780261906667
0.0005,0.0005,0.75,0.1,0,VM,0.0,0.0
0.0005,0.0005,0.75,0.1,0,Other,0.004125975625995932,0.0694294431518258
0.0005,0.0005,0.75,0.1,1,PMEC,0.007515342136987803,0.06776688979666369
0.0005,0.0005,0.75,0.1,1,VM,0.0,0.0
0.0005,0.0005,0.75,0.1,1,Other,0.004511268732993003,0.0691525608121054
0.0005,0.0005,0.75,0.1,2,PMEC,0.007686441973173015,0.06779524347917248
0.0005,0.0005,0.75,0.1,2,VM,0.0,0.0
0.0005,0.0005,0.75,0.1,2,Other,0.0047750260678260424,0.06921649014749653
0.0005,0.0005,1,0.001,0,PMEC,0.02765767691393374,0.02990581146662556
0.0005,0.0005,1,0.001,0,VM,0.0,0.0
0.0005,0.0005,1,0.001,0,Other,0.026450372614155938,0.028573073670702775
0.0005,0.0005,1,0.001,1,PMEC,0.025381460389717614,0.02794322191027164
0.0005,0.0005,1,0.001,1,VM,0.0,0.0
0.0005,0.0005,1,0.001,1,Other,0.025162735953541477,0.02751725269300828
0.0005,0.0005,1,0.001,2,PMEC,0.02643936840425918,0.028530055463512935
0.0005,0.0005,1,0.001,2,VM,0.0,0.0
0.0005,0.0005,1,0.001,2,Other,0.02581308025032054,0.027753909297088694
0.0005,0.0005,1,0.005,0,PMEC,0.026382811882218214,0.03177069803814252
0.0005,0.0005,1,0.005,0,VM,0.0,0.0
0.0005,0.0005,1,0.005,0,Other,0.0259957863433075,0.03215746858129186
0.0005,0.0005,1,0.005,1,PMEC,0.027236535084748527,0.032566301669847204
0.0005,0.0005,1,0.005,1,VM,0.0,0.0
0.0005,0.0005,1,0.005,1,Other,0.02557728932289149,0.03183690172581089
0.0005,0.0005,1,0.005,2,PMEC,0.027205474189602185,0.032472368065720326
0.0005,0.0005,1,0.005,2,VM,0.0,0.0
0.0005,0.0005,1,0.005,2,Other,0.026674073216080858,0.0323917811553247
0.0005,0.0005,1,0.01,0,PMEC,0.023306013781390657,0.03279936213427418
0.0005,0.0005,1,0.01,0,VM,0.0,0.0
0.0005,0.0005,1,0.01,0,Other,0.02061080978229423,0.03277132337199053
0.0005,0.0005,1,0.01,1,PMEC,0.02349929365528608,0.032429768196058105
0.0005,0.0005,1,0.01,1,VM,0.0,0.0
0.0005,0.0005,1,0.01,1,Other,0.021393644482400852,0.032706109972307516
0.0005,0.0005,1,0.01,2,PMEC,0.02362570018510274,0.032825969806399936
0.0005,0.0005,1,0.01,2,VM,0.0,0.0
0.0005,0.0005,1,0.01,2,Other,0.02036904686059495,0.03245936717807147
0.0005,0.0005,1,0.05,0,PMEC,0.012717992010727874,0.045078421738790425
0.0005,0.0005,1,0.05,0,VM,0.0,0.0
0.0005,0.0005,1,0.05,0,Other,0.006479160109267603,0.04609712854369907
0.0005,0.0005,1,0.05,1,PMEC,0.01117889299493506,0.045193029669837764
0.0005,0.0005,1,0.05,1,VM,0.0,0.0
0.0005,0.0005,1,0.05,1,Other,0.006332488724762244,0.04601131823841318
0.0005,0.0005,1,0.05,2,PMEC,0.010999293229919991,0.04496203838959932
0.0005,0.0005,1,0.05,2,VM,0.0,0.0
